user_id,username,user_dob,user_gender,user_phone,user_address,user_email,user_password,role_id,dept_id
1,Khin,2000-08-14,female,09123,Mawlamyine,khin@gmail.com,123,1,1
3,Thiri,2000-08-25,female,09123,Yangon,thiri@gmail.com,123,7,2
4,Thi,2000-10-27,male,09123,Myeik,thn@gmail.com,123,2,1
6,Kyaw,2000-08-14,male,09123,Yangon,kyaw@gmail.com,123,8,3
24,nsywk,2001-02-06,female,123,Yangon,nsywk@gmail.com,123,7,4
25,nan,2001-02-06,female,123,123,nan@gmail.com,123,7,3
26,thn123,0001-01-01,male,123,123,thihannyunt80@gmail.com,123,8,4
39,Nyunt,2000-02-27,male,123,Yangon,nyunt@gmail.com,123,7,5
40,Hanabi,0123-12-03,female,123,japan,hanabi@gmail.com,123,7,1
41,mario,2022-03-02,male,12345,ygn,ma@gmail.com,1234,7,25
